,org:group,concept:instance,org:resource,concept:name,time:timestamp,lifecycle:transition,case:startdate,case:responsible,case:enddate_planned,case:department,case:group,case:concept:name,case:deadline,case:channel,case:enddate
0,Group 1,task-42933,Resource21,Confirmation of receipt,2011-10-11 13:45:40.276000+02:00,complete,2011-10-11 13:42:22.688000+02:00,Resource21,2011-12-06 13:41:31.788000+01:00,General,Group 2,case-10011,2011-12-06 13:41:31.788000+01:00,Internet,
1,Group 4,task-42935,Resource10,T02 Check confirmation of receipt,2011-10-12 08:26:25.398000+02:00,complete,2011-10-11 13:42:22.688000+02:00,Resource21,2011-12-06 13:41:31.788000+01:00,General,Group 2,case-10011,2011-12-06 13:41:31.788000+01:00,Internet,
2,Group 1,task-42957,Resource21,T03 Adjust confirmation of receipt,2011-11-24 15:36:51.302000+01:00,complete,2011-10-11 13:42:22.688000+02:00,Resource21,2011-12-06 13:41:31.788000+01:00,General,Group 2,case-10011,2011-12-06 13:41:31.788000+01:00,Internet,
3,Group 4,task-47958,Resource21,T02 Check confirmation of receipt,2011-11-24 15:37:16.553000+01:00,complete,2011-10-11 13:42:22.688000+02:00,Resource21,2011-12-06 13:41:31.788000+01:00,General,Group 2,case-10011,2011-12-06 13:41:31.788000+01:00,Internet,
4,EMPTY,task-43021,Resource30,Confirmation of receipt,2011-10-18 13:46:39.679000+02:00,complete,2011-10-11 01:06:40.020000+02:00,Resource04,2011-12-06 01:06:40.010000+01:00,General,Group 5,case-10017,2011-12-06 01:06:40+01:00,Internet,2011-10-18 13:56:55.943000+02:00
5,Group 1,task-43672,Resource30,T06 Determine necessity of stop advice,2011-10-18 13:47:06.950000+02:00,complete,2011-10-11 01:06:40.020000+02:00,Resource04,2011-12-06 01:06:40.010000+01:00,General,Group 5,case-10017,2011-12-06 01:06:40+01:00,Internet,2011-10-18 13:56:55.943000+02:00
6,Group 4,task-43671,Resource30,T02 Check confirmation of receipt,2011-10-18 13:47:26.235000+02:00,complete,2011-10-11 01:06:40.020000+02:00,Resource04,2011-12-06 01:06:40.010000+01:00,General,Group 5,case-10017,2011-12-06 01:06:40+01:00,Internet,2011-10-18 13:56:55.943000+02:00
7,Group 1,task-43674,Resource30,T03 Adjust confirmation of receipt,2011-10-18 13:47:41.811000+02:00,complete,2011-10-11 01:06:40.020000+02:00,Resource04,2011-12-06 01:06:40.010000+01:00,General,Group 5,case-10017,2011-12-06 01:06:40+01:00,Internet,2011-10-18 13:56:55.943000+02:00
8,Group 4,task-43675,Resource30,T02 Check confirmation of receipt,2011-10-18 13:47:57.979000+02:00,complete,2011-10-11 01:06:40.020000+02:00,Resource04,2011-12-06 01:06:40.010000+01:00,General,Group 5,case-10017,2011-12-06 01:06:40+01:00,Internet,2011-10-18 13:56:55.943000+02:00
9,Group 1,task-43673,Resource30,T10 Determine necessity to stop indication,2011-10-18 13:48:15.357000+02:00,complete,2011-10-11 01:06:40.020000+02:00,Resource04,2011-12-06 01:06:40.010000+01:00,General,Group 5,case-10017,2011-12-06 01:06:40+01:00,Internet,2011-10-18 13:56:55.943000+02:00
